2022-04-26 13:06:40,699 - DEBUG    - decos.py - Была вызвана функция arg_parser с параметрами (), {}.Вызов из модуля __main__. 
2022-04-26 13:06:53,587 - INFO     - server.py - Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов. 
2022-04-26 13:12:27,068 - INFO     - server.py - Установлено соединение с ПК ('127.0.0.1', 64561) 
2022-04-26 13:13:16,918 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=772, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64561)>,), {}.Вызов из модуля common.utils. 
2022-04-26 13:13:18,592 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'presence', 'time': 1650953482.3130207, 'user': {'account_name': 'test1'}} 
2022-04-26 13:13:18,592 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=772, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64561)>, {'response': 200}), {}.Вызов из модуля common.utils. 
2022-04-26 13:13:18,592 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': 1650953482.3130207, 'user': {'account_name': 'test1'}}, [], <socket.socket fd=772, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64561)>, [<socket.socket fd=772, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64561)>], {'test1': <socket.socket fd=772, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64561)>}), {}.Вызов из модуля __main__. 
2022-04-26 13:15:22,973 - DEBUG    - decos.py - Была вызвана функция get_message с параметрами (<socket.socket fd=772, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64561)>,), {}.Вызов из модуля common.utils. 
2022-04-26 13:15:28,352 - DEBUG    - server.py - Разбор сообщения от клиента: {'action': 'message', 'from': 'test1', 'to': 'test1', 'time': 1650953689.9455044, 'mess_text': 'hi'} 
2022-04-26 13:15:28,352 - DEBUG    - decos.py - Была вызвана функция process_client_message с параметрами ({'action': 'message', 'from': 'test1', 'to': 'test1', 'time': 1650953689.9455044, 'mess_text': 'hi'}, [{'action': 'message', 'from': 'test1', 'to': 'test1', 'time': 1650953689.9455044, 'mess_text': 'hi'}], <socket.socket fd=772, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64561)>, [<socket.socket fd=772, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64561)>], {'test1': <socket.socket fd=772, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64561)>}), {}.Вызов из модуля __main__. 
2022-04-26 13:15:59,218 - DEBUG    - decos.py - Была вызвана функция send_message с параметрами (<socket.socket fd=772, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 64561)>, {'action': 'message', 'from': 'test1', 'to': 'test1', 'time': 1650953689.9455044, 'mess_text': 'hi'}), {}.Вызов из модуля common.utils. 
